Ruangan Kelas untuk Perkuliahan,,,,,
,,,,,
,RUANG KELAS LANTAI 1 GEDUNG CACUK,,,,
NO,RUANG,Kapastias Maks,Kapasitas Ujian,Prodi,Keterangan
1,RUANG KU2.01.01 <B101>,80,40,S1 SI,Kursi chitose
2,RUANG KU2.01.02,,LAB APK&E,,
3,RUANG KU2.01.03 <B103A>,40,20,S1 SI,Bermeja
4,RUANG KU2.01.04 <B103B>,40,20,S1 SI,Bermeja
5,RUANG KU2.01.05 <B104A>,40,20,S1 TI,Bermeja
6,RUANG KU2.01.09 <B107>,80,40,S1 TI,Bermeja
7,RUANG KU2.01.10 <B109>,40,20,S1 TI,Bermeja
8,RUANG KU2.01.07 <B110>,40,20,S1 TI,Bermeja
9,RUANG KU2.01.11 <B106>,,Active Learning,,
,,,,,
,RUANG KELAS LANTAI 3 Gedung Cacuk,,,,
NO,RUANG,Kapastias Maks,Kapasitas Ujian,Prodi,Keterangan
20,RUANG KU2.02.13 <B205>,80,40,S1 TL,Bermeja
1,RUANG  <B209>,40,20,S1 TL,Bermeja
2,RUANG KU2.03.01 <B301A>,40,20,S1 TL,Kursi chitose
3,RUANG KU2.03.02 <B301B>,40,20,S1 TL,Kursi chitose
4,RUANG KU2.03.03 <B302A>,40,20,S1 TL,Kursi chitose
5,RUANG KU2.03.04 <B302B>,40,20,S1 TL,Bermeja
6,RUANG KU2.03.05 <B303A>,40,20,S1 TI,Kursi chitose
7,RUANG KU2.03.06 <B303B>,40,20,S1 TI,Kursi chitose
8,RUANG KU2.03.07 <B304A>,40,20,S1 TI,Kursi chitose
9,RUANG KU2.03.08 <B304B>,40,20,S1 TI,Kursi chitose
19,RUANG KU2.03.18 <B305A>,40,20,S1 TI,Kursi chitose
18,RUANG KU2.03.17 <B305B>,40,20,S1 TI,Kursi chitose
17,RUANG KU2.03.16 <B306A>,40,20,S1 TI,Kursi chitose
16,RUANG KU2.03.15 <B306B>,40,20,S1 SI,Kursi chitose
14,RUANG KU2.03.13 <B307A>,40,20,S1 SI,Kursi chitose
13,RUANG KU2.03.12 <B307B>,40,20,S1 SI,Kursi chitose
11,RUANG KU2.03.10<B308B>,40,20,S1 SI,Kursi chitose
12,RUANG KU2.03.11 <B308A>,40,20,S1 SI,Kursi chitose
10,RUANG KU2.03.09 <B309>,40,20,S1 SI,Bermeja
15,RUANG KU2.03.14 <B310>,40,20,S1 SI,Bermeja
