,RUANG KELAS LANTAI 09,,,,,Shift kosong,,,,,
NO,RUANG,Ket,Prodi,Kapastias,Keterangan,Senin,Selasa ,Rabu,Kamis,Jumat,Sabtu
1,RUANG KELAS 0901,,S1 TI,45,Bermeja,,,,,,
2,RUANG KELAS 0902,,S1 TI,45,Bermeja,,,,,,
3,RUANG KELAS 0903,,S1 TI,45,Bermeja,,,,,,
4,RUANG KELAS 0904,lab,,,,,,,,,
5,RUANG KELAS 0905,lab,,,,,,,,,
6,RUANG KELAS 0906,,S1 TI,45,Bermeja,,,,,,
7,RUANG KELAS 0907,,S1 TI,45,Bermeja,,,,,,
8,RUANG KELAS 0908,,S1 TI,45,Bermeja,,,,,,
9,RUANG KELAS 0909,,S1 SI,45,Bermeja,,,,,,
10,RUANG KELAS 0910,,S1 SI,45,Bermeja,,,,,,
11,RUANG KELAS 0911,,S1 SI,45,Bermeja,,,,,,
12,RUANG KELAS 0912,lab,,,,,,,,,
13,RUANG KELAS 0913,lab,,,,,,,,,
14,RUANG KELAS 0914,,S1 SI,45,Bermeja,,,,,,
15,RUANG KELAS 0915,,S1 SI,45,Bermeja,,,,,,
16,RUANG KELAS 0916,,S1 SI,45,Bermeja,,,,,,
,,,,,,,,,,,
,RUANG LANTAI 08,,,,,Shift kosong,,,,,
NO,RUANG,Ket,Prodi,Kapastias,Keterangan,Senin,Selasa ,Rabu,Kamis,Jumat,Sabtu
1,RUANG KELAS 0801,,S1 TL,45,Bermeja,,,,,,
2,RUANG KELAS 0802,,S1 TL,45,Bermeja,,,,,,
3,RUANG KELAS 0803,ruang singgah asisaten,,,Bermeja,,,,,,
4,RUANGLAB RISET 4 EINS 0804,,,,Bermeja,,,,,,
5,RUANG LAB INTEGRA R1 0805,,,,Bermeja,,,,,,
6,RUANG LAB RISET 3 EINS 0806,,,,Bermeja,,,,,,
7,RUANG LAB INTEGRA R2 0807,,,,Bermeja,,,,,,
8,RUANG LAB RISET 2 EINS 0808,,,,Bermeja,,,,,,
9,RUANG LAB RISET 1 EINS 0809,,,,Bermeja,,,,,,
10,RUANG LAB RISET 3 CYBERNETIC 0810,,,,Bermeja,,,,,,
11,RUANG LAB RISET 2 CYBERNETIC 0811,,,,Bermeja,,,,,,
12,RUANG LAB RISET 1 CYBERNETIC 0812,,,,Bermeja,,,,,,
13,RUANG LAB RISET 1 PROMASYS 0813,,,,Bermeja,,,,,,
14,RUANG LAB RISET 2 PROMASYS 0814,,,,Bermeja,,,,,,
15,RUANG LAB RISET 3 PROMASYS 0815,,,,Bermeja,,,,,,
16,RUANG LAB RISET 1 EMS 0816,,,,Bermeja,,,,,,
17,RUANG LAB RISET 2 EMS 0817,,,,Bermeja,,,,,,
18,RUANG LAB RISET 3 EMS 0818,,,,Bermeja,,,,,,
19,RUANG LAB INTEGRA R3 0819,,,,Bermeja,,,,,,
20,RUANG STUDIO 0820,,,,Bermeja,,,,,,
21,RUANG LAB e LOGISTIK 0821,,,,Bermeja,,,,,,
22,RUANG LABORAN FRI 0822,,,,Bermeja,,,,,,
23,RUANG KELAS 0823,,S1 TL,45,Bermeja,,,,,,
24,RUANG KELAS 0824,,S1 TL,45,Bermeja,,,,,,
25,KAMAR MANDI DAN MUSHOLA BARAT DAN TIMUR,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,RUANG LANTAI 15,,,,,Shift kosong,,,,,
NO,RUANG,Ket,Prodi,Kapastias,Keterangan,Senin,Selasa ,Rabu,Kamis,Jumat,Sabtu
1,RUANG KELAS 1501,,S1 MR,45,Bermeja,,,,,,
2,RUANG KELAS 1502,,S1 MR,45,Bermeja,,,,,,
3,RUANG KELAS 1503,,S1 TI,45,Bermeja,,,,,,
4,RUANG KELAS 1506,,S1 SI,45,Bermeja,,,,,,
